Created At,Text,Name
03/28/2019,"RT @HappyLobsterCHI: Opening Day ⚾️

March Madness is back 🏀 

And we’re making sandwiches that look like THAT 🦞

We’d say you’re having a…",Trucks at UChicago
03/28/2019,"I uploaded a new episode, ""Sports With Drew 03/28/19"", on #spreaker #104_9 #chicagotitle #conor #country #coyote… https://t.co/4lRIegCSP5",Robert Miguel
03/28/2019,RT @KCBD11: We have officially come down with March Madness. Be careful it is extremely contagious🏀❤😆 https://t.co/f0zX11g99Y,Colton Ancell
03/28/2019,"If you haven't already, enter one of our FREE prop contests:

🏀$1,000 Sweet Sixteen Prop Contest🏀… https://t.co/d42wF6JAIx",Mike Marsh
03/28/2019,"""Man, we knew everything about them."" Inside Auburn's long-awaited trip to the Sweet 16 and the game plan it used t… https://t.co/RWgY6DwWuf",SI College Hoops
03/28/2019,We have started the 4th annual Staff Bracket Challenge for March Madness. Stop by 365 N. Third St. to see our predi… https://t.co/4J9fLduYnB,Laramie Plains
03/28/2019,How This Broadcaster Went From Wall Street to March Madness https://t.co/mAZ11TWcWL,DanaGarrison
03/28/2019,Hearing politics from actors always very insightful. Now let's ask dentists what they think of March Madness. https://t.co/8dRdpBxM7C,Rob Shimshock
03/28/2019,"Is there something #healthcare can learn from the NCAA basketball tournament? Actuary Zach Westphal, ASA, MAAA make… https://t.co/ltMWsFphhb",Axene Health Partners
03/28/2019,"RT @JayBilas: Breanna Stewart calls out the NCAA for lack of respect, promotion of Women’s Tournament. https://t.co/VBISclbMLl",W.G. Ramirez
03/28/2019,College basketball picks: 2019 March Madness bracket expert predictions for Sweet 16 games on Thursday https://t.co/KmmQmTg6Uh,9ijaNews
03/28/2019,"RT @MattNorlander: Last time Admiral Schofield was in Louisville, he was a 17 y/o with zero scholarship offers.

On the 4-year anniversary…",Billy Hughes
03/28/2019,RT @DickieV: A salute to ⁦@breannastewart⁩  for the courage to let the ⁦@NCAA⁩ know that she &amp; many others r not pleased with how the Women…,connor
03/28/2019,Our next book off in our March Madness Book Tournament!!! Check back to see which one wins!  @tadghbentley… https://t.co/dL0AaLKt2W,Brandie Kennedy
03/28/2019,"New @si_ncaabb: Looking ahead to tonight’s Michigan-Texas Tech matchup, which will not be a shootout, but will prob… https://t.co/Mbn0JYwimx",Jeremy Woo
03/28/2019,"March Madness by Future plays as #LSU warms up and stretches.

I would have been disappointed if it didn't.",Tyler Nunez
03/28/2019,RT @NetflixIsAJoke: This is my March Madness. https://t.co/kk7HIW5Q0J,P_Willette
03/28/2019,"“Color” Commentary. 😆 I've felt like this for years saying, “it’s not yellow, it is #fdd023. #justOKisnotOK… https://t.co/V9E15fU4Qk",Jason Feirman
03/28/2019,RT @SchoolJokesK_12: #MarchMadness Blogs: The #EliteEight https://t.co/EVwwU5o9Tn #basketball #hoops,Denise Staubach
03/28/2019,"RT @BookFlavors: Discover how March Madness was born!
🔥https://t.co/0cEEAtWIrE

#MarchMadness #NBA #sportsfan #sportsfiction #author #bookb…",Badass Reads
03/28/2019,"RT @TopRopeNation: Episode 90 - #WWE #WrestleMania March Madness

We're talking Charlotte Flair's win, Kofi Kingston's shot, #NXTTakeOver b…",Marcus Oriobosa Ofuovo Osareme
03/28/2019,"This feels right. I wonder how the #Nuggets would perform in a ""Blind Resume"" test that people float during March M… https://t.co/NppoCsk2zg",Ryan Blackburn
03/28/2019,"RT @TheBigBetBros1: 🚨🚨REMINDER FOR TODAY🚨🚨

💰TIPPERS WILL GET ALL MARCH MADNESS PLAYS TODAY 💰

✅✅Just DM for MLB OPENING DAY plays✅✅

Feeli…",Mike Alessandro
03/28/2019,"RT @Coaching_U: 🏀MARCH MADNESS GIVEAWAYS 🏀

Today we're giving away Piston's Coach Dwane Casey: Developing Winning Culture through Defense…",Lucas Wide
03/28/2019,"MLB Opening Day, March Madness Sweet 16, Trump heads to Michigan: 5 things to know Thursday https://t.co/6Fljr7Juss",Boston Red Sox
03/28/2019,"March Madness being picked at 88%! We will keep cashing in on this tournament
8-3 (73%) March Madness run!

March M… https://t.co/sStSLOxESD",The Marksman
03/28/2019,The Gentex Wellness Center is tracking a different March Madness bracket. Team members are competing against each o… https://t.co/zNKMYyclSF,Gentex Corporation
03/28/2019,RT @collegead: March Madness: Big money bonuses on line for coaches in Sweet 16 of NCAA tournament. https://t.co/ne856LxBwk,MARK HAYES Consulting
03/28/2019,RT @swright_sharon: @perret02 thank you for the excitement you bring to our March Madness book voting! We are ready to vote! #eddelem #ctec…,Peggy Perret
03/28/2019,RT @MrsAimeeSmith: It’s OPENING DAY⚾️ ... it’s gonna be 70 and sunny.... and... there’s March Madness on tonight 🏀 🙌🏻,Jonathan Buckler
03/28/2019,"🚨🚨REMINDER FOR TODAY🚨🚨

💰TIPPERS WILL GET ALL MARCH MADNESS PLAYS TODAY 💰

✅✅Just DM for MLB OPENING DAY plays✅✅

F… https://t.co/mtpo9hTORO",The Big Bet Bros
03/28/2019,RT @drkastout: Love this March Madness #Equity bracket.  Now we need one with #comm_colleges! https://t.co/2jkxvokAYU,Achieving the Dream
03/28/2019,"March Madness is on, sorry.  RT @kaitlancollins: President Trump will take the stage in Grand Rapids, Michigan at 7… https://t.co/CYvCiHteGy",Kristie Gordon
03/28/2019,"RT @ObligatoryPSU: 🚨 #OBLIGATORY NUEVO, PEOPLE! 🚨

We admire the dominance of @pennstateWREST &amp; break down @psucreamery Flavor Madness (som…",Chris Buchignani
03/28/2019,@perret02 thank you for bringing the excitement to our March Madness book voting! 😄 We are ready to vote! #eddelem… https://t.co/bgQRDTxVO0,Sharon
03/28/2019,"Our man @RohitChristoph is all about the South Region of the #MarchMadness bracket, and breaks down his favorite sp… https://t.co/I4m0iekZzT",Covers
03/28/2019,RT @XanderThe1st: @THEREALPCHAP @ChrisSahm @Astep25 I prefer “March Madness” but I GUESS day baseball is alright,Preston Chapman
